RecordID,Date,Player,Team,Positive,Neutral,Negative,PopularityScore
114,2023-08-17,Mustafizur Rahman,South Africa,59,8,33,6.3
115,2025-05-31,Trent Boult,West Indies,61,13,26,6.8
116,2024-01-16,Nicholas Pooran,New Zealand,79,17,4,8.8
117,2023-01-10,Kane Williamson,Sri Lanka,86,4,10,8.8
118,2023-11-25,Virat Kohli,Australia,66,3,31,6.8
119,2023-05-21,Litton Das,New Zealand,75,4,21,7.7
120,2025-06-08,KL Rahul,West Indies,61,3,36,6.2
121,2023-08-27,Litton Das,Afghanistan,91,11,0,9.7
122,2023-05-01,Jonny Bairstow,South Africa,58,16,26,6.6
123,2023-04-29,Kusal Mendis,India,88,6,6,9.1
124,2023-12-07,Jasprit Bumrah,India,91,9,0,9.5
125,2024-03-28,MS Dhoni,Afghanistan,66,5,29,6.9
126,2024-10-30,Quinton de Kock,West Indies,83,17,0,9.2
127,2024-09-17,KL Rahul,Pakistan,71,20,9,8.1
128,2024-06-03,Mitchell Starc,South Africa,73,11,16,7.9
129,2025-01-27,Mohammed Shami,England,76,6,18,7.9
130,2025-01-16,Mustafizur Rahman,New Zealand,60,13,27,6.7
131,2024-09-30,Rohit Sharma,Afghanistan,77,12,11,8.3
132,2023-12-20,Ben Stokes,Australia,92,16,0,10.0
133,2023-07-01,David Warner,Bangladesh,67,18,15,7.6
134,2024-08-22,Mohammed Shami,South Africa,60,16,24,6.8
135,2025-02-14,Rahmanullah Gurbaz,Bangladesh,64,6,30,6.7
136,2023-09-25,Yashasvi Jaiswal,Australia,95,8,0,9.9
137,2023-11-10,KL Rahul,Sri Lanka,83,16,1,9.1
138,2024-12-05,Nicholas Pooran,New Zealand,87,6,7,9.0
139,2023-05-20,Shubman Gill,South Africa,75,15,10,8.2
140,2023-12-28,Mohammed Shami,Sri Lanka,71,20,9,8.1
141,2023-12-08,Rashid Khan,Bangladesh,66,11,23,7.1
142,2025-02-14,Shimron Hetmyer,Sri Lanka,82,3,15,8.3
143,2024-06-09,Joe Root,Pakistan,69,15,16,7.7
144,2023-02-02,Trent Boult,Pakistan,55,9,36,5.9
145,2024-10-07,Fakhar Zaman,South Africa,64,7,29,6.8
146,2024-02-27,Ravindra Jadeja,Australia,64,15,21,7.1
147,2024-12-15,Devon Conway,Pakistan,64,3,33,6.6
148,2023-12-13,Shimron Hetmyer,South Africa,84,11,5,8.9
149,2025-06-07,Travis Head,England,61,14,25,6.8
150,2024-06-04,MS Dhoni,England,79,17,4,8.8
151,2023-09-04,Jason Holder,England,85,19,0,9.4
152,2024-04-16,Temba Bavuma,Afghanistan,73,10,17,7.8
153,2024-09-11,Quinton de Kock,Pakistan,95,4,1,9.7
154,2023-03-25,Tom Latham,South Africa,55,3,42,5.6
155,2025-02-11,Fakhar Zaman,Australia,75,16,9,8.3
156,2025-06-17,Rashid Khan,India,61,10,29,6.6
157,2025-04-10,Suryakumar Yadav,England,78,12,10,8.4
158,2024-10-21,Suryakumar Yadav,India,88,5,7,9.1
159,2023-09-13,Kagiso Rabada,West Indies,86,5,9,8.8
160,2024-08-19,Rashid Khan,England,66,8,26,7.0
161,2024-12-03,Jofra Archer,South Africa,78,12,10,8.4
162,2024-06-11,Steve Smith,South Africa,64,8,28,6.8
163,2023-12-12,Dasun Shanaka,Sri Lanka,75,6,19,7.8
164,2023-12-23,Suryakumar Yadav,England,80,11,9,8.6
165,2024-02-16,Harry Brook,New Zealand,93,19,0,10.2
166,2023-08-13,Mohammed Shami,India,73,19,8,8.2
167,2024-10-01,Wanindu Hasaranga,Australia,67,17,16,7.5
168,2024-11-02,Shakib Al Hasan,West Indies,56,8,36,6.0
169,2023-02-21,Litton Das,Australia,91,11,0,9.7
170,2024-06-23,Devon Conway,Pakistan,94,14,0,10.1
171,2024-03-01,Hardik Pandya,Australia,55,6,39,5.8
172,2024-09-27,Kane Williamson,Afghanistan,91,3,6,9.2
173,2023-08-24,Trent Boult,Bangladesh,61,7,32,6.5
174,2023-10-18,KL Rahul,South Africa,70,6,24,7.3
175,2024-10-06,Yashasvi Jaiswal,Pakistan,95,11,0,10.0
176,2024-06-12,Rishabh Pant,Afghanistan,84,13,3,9.1
177,2023-04-10,Devon Conway,Afghanistan,59,7,34,6.2
178,2023-07-15,Steve Smith,Bangladesh,75,6,19,7.8
179,2023-11-13,Ravindra Jadeja,Sri Lanka,87,14,0,9.4
180,2025-05-24,Devon Conway,South Africa,84,9,7,8.8
181,2023-07-26,Mohammed Shami,Afghanistan,78,14,8,8.5
182,2023-03-14,Hardik Pandya,Australia,69,17,14,7.8
183,2025-03-04,Andre Russell,Sri Lanka,89,7,4,9.2
184,2024-05-18,Joe Root,South Africa,91,7,2,9.4
185,2023-11-09,Dasun Shanaka,Sri Lanka,64,15,21,7.1
186,2024-07-26,Shubman Gill,Pakistan,55,14,31,6.2
187,2023-09-03,Steve Smith,Afghanistan,82,3,15,8.3
188,2024-12-07,Kusal Mendis,South Africa,84,19,0,9.4
189,2024-02-06,Litton Das,Australia,90,19,0,9.9
190,2023-08-10,Fakhar Zaman,England,58,14,28,6.5
191,2023-02-18,Rashid Khan,India,75,4,21,7.7
192,2024-07-17,Jasprit Bumrah,Australia,85,11,4,9.1
193,2024-11-21,Rohit Sharma,Pakistan,95,20,0,10.5
194,2023-07-07,Mitchell Starc,Pakistan,62,17,21,7.0
195,2024-01-13,Steve Smith,Afghanistan,81,7,12,8.4
196,2023-02-16,Rashid Khan,Australia,89,18,0,9.8
197,2023-08-12,Shaheen Afridi,Sri Lanka,60,8,32,6.4
198,2023-07-16,Virat Kohli,Bangladesh,57,15,28,6.5
199,2024-09-26,Jos Buttler,Pakistan,55,3,42,5.6
200,2024-04-13,Pat Cummins,Australia,90,3,7,9.2
201,2023-01-06,Virat Kohli,Afghanistan,79,20,1,8.9
202,2024-10-23,Harry Brook,South Africa,57,7,36,6.0
203,2023-05-20,Jos Buttler,India,78,7,15,8.1
204,2023-08-16,Rashid Khan,Australia,87,3,10,8.8
205,2024-10-23,Mustafizur Rahman,Sri Lanka,69,4,27,7.1
206,2024-12-26,Devon Conway,England,62,12,26,6.8
207,2023-02-28,Wanindu Hasaranga,Australia,71,15,14,7.9
208,2024-07-26,Rohit Sharma,Bangladesh,82,14,4,8.9
209,2024-10-31,David Warner,West Indies,81,5,14,8.3
210,2024-06-11,Mohammad Rizwan,India,61,7,32,6.5
211,2023-08-19,Jason Holder,Pakistan,77,16,7,8.5
212,2025-02-24,Angelo Mathews,South Africa,80,19,1,8.9
213,2024-10-07,Babar Azam,West Indies,77,20,3,8.7
214,2023-09-09,Jonny Bairstow,Australia,72,7,21,7.5
215,2023-02-28,Angelo Mathews,England,55,17,28,6.3
216,2024-04-19,Rohit Sharma,England,90,8,2,9.4
217,2024-12-30,Ben Stokes,Bangladesh,55,20,25,6.5
218,2025-03-28,Jos Buttler,India,92,14,0,9.9
219,2024-07-21,Angelo Mathews,Australia,88,20,0,9.8
220,2023-03-25,Angelo Mathews,Bangladesh,86,3,11,8.8
221,2025-02-17,Tom Latham,Pakistan,76,5,19,7.9
222,2024-05-03,Devon Conway,South Africa,79,4,17,8.1
223,2023-09-03,Andre Russell,Australia,60,3,37,6.2
224,2024-06-12,Yashasvi Jaiswal,Bangladesh,83,7,10,8.7
225,2024-11-18,Harry Brook,Sri Lanka,56,13,31,6.2
226,2023-07-30,Jofra Archer,England,73,5,22,7.5
227,2024-10-04,Kusal Mendis,Afghanistan,76,11,13,8.1
228,2025-02-28,David Warner,Bangladesh,86,8,6,9.0
229,2024-02-03,Virat Kohli,Pakistan,70,8,22,7.4
230,2023-04-08,Aiden Markram,West Indies,61,6,33,6.4
231,2024-04-12,Shubman Gill,Afghanistan,61,7,32,6.5
232,2024-06-10,Wanindu Hasaranga,England,65,20,15,7.5
233,2023-11-15,Shubman Gill,South Africa,65,17,18,7.3
234,2024-02-28,Rahmanullah Gurbaz,Australia,89,15,0,9.7
235,2023-02-21,Shimron Hetmyer,England,67,17,16,7.5
236,2023-07-14,Babar Azam,Pakistan,95,14,0,10.2
237,2024-07-05,David Warner,New Zealand,75,16,9,8.3
238,2023-09-29,Jasprit Bumrah,Australia,61,5,34,6.3
239,2023-02-27,Mujeeb Ur Rahman,New Zealand,84,4,12,8.6
240,2023-07-24,Kusal Mendis,South Africa,63,9,28,6.8
241,2025-02-04,Babar Azam,South Africa,59,9,32,6.3
242,2024-09-24,Yashasvi Jaiswal,Pakistan,77,10,13,8.2
243,2024-02-07,Nicholas Pooran,South Africa,80,19,1,8.9
244,2024-10-18,Suryakumar Yadav,New Zealand,70,12,18,7.6
245,2023-03-17,MS Dhoni,Sri Lanka,59,16,25,6.7
246,2023-10-04,Joe Root,Bangladesh,66,19,15,7.5
247,2024-12-16,Jason Holder,Sri Lanka,75,16,9,8.3
248,2023-04-28,Aiden Markram,South Africa,57,15,28,6.5
249,2024-10-22,Shubman Gill,Afghanistan,72,15,13,8.0
250,2024-10-08,Fakhar Zaman,England,87,12,1,9.3
251,2024-02-01,Babar Azam,India,78,9,13,8.2
252,2024-05-07,Harry Brook,India,73,17,10,8.1
253,2023-07-17,Litton Das,New Zealand,59,4,37,6.1
254,2025-03-30,Ben Stokes,Sri Lanka,68,11,21,7.3
255,2025-04-19,Ravindra Jadeja,South Africa,59,5,36,6.2
256,2023-07-30,KL Rahul,Afghanistan,67,7,26,7.0
257,2024-10-03,Yashasvi Jaiswal,England,92,4,4,9.4
258,2024-04-01,Jason Holder,Sri Lanka,86,8,6,9.0
259,2025-06-16,Wanindu Hasaranga,South Africa,72,9,19,7.7
260,2024-09-03,Rohit Sharma,Australia,57,20,23,6.7
261,2023-05-10,KL Rahul,India,63,5,32,6.6
262,2025-03-26,KL Rahul,West Indies,73,10,17,7.8
263,2025-03-23,Dasun Shanaka,Australia,71,8,21,7.5
264,2024-08-01,Joe Root,Afghanistan,88,6,6,9.1
265,2025-06-06,Fakhar Zaman,South Africa,56,3,41,5.8
266,2025-06-08,Rahmanullah Gurbaz,Bangladesh,59,10,31,6.4
267,2023-04-25,Mustafizur Rahman,Bangladesh,60,12,28,6.6
268,2024-06-14,Rishabh Pant,India,62,9,29,6.7
269,2025-06-18,Joe Root,Australia,92,7,1,9.5
270,2023-10-02,Devon Conway,New Zealand,66,16,18,7.4
271,2023-02-27,KL Rahul,West Indies,82,6,12,8.5
272,2024-05-24,Wanindu Hasaranga,Afghanistan,55,10,35,6.0
273,2025-05-08,KL Rahul,India,57,8,35,6.1
274,2024-11-14,Litton Das,Pakistan,91,18,0,10.0
275,2023-02-28,Quinton de Kock,Bangladesh,74,12,14,8.0
276,2023-12-15,Dasun Shanaka,New Zealand,69,13,18,7.5
277,2024-12-07,Steve Smith,South Africa,66,15,19,7.3
278,2025-04-28,Wanindu Hasaranga,New Zealand,93,17,0,10.1
279,2023-06-02,Glenn Maxwell,Afghanistan,86,14,0,9.3
280,2024-07-14,Jonny Bairstow,Pakistan,67,5,28,6.9
281,2023-11-08,Jasprit Bumrah,India,81,10,9,8.6
282,2025-02-10,Litton Das,South Africa,68,14,18,7.5
283,2024-07-22,Pat Cummins,West Indies,86,15,0,9.4
284,2024-09-09,Shakib Al Hasan,England,70,11,19,7.5
285,2023-12-22,Mitchell Starc,New Zealand,58,10,32,6.3
286,2024-03-23,MS Dhoni,Pakistan,55,15,30,6.2
287,2023-02-10,MS Dhoni,South Africa,63,9,28,6.8
288,2023-11-18,Andre Russell,England,77,11,12,8.2
289,2024-04-19,Aiden Markram,Pakistan,72,17,11,8.1
290,2023-04-16,Devon Conway,Afghanistan,71,18,11,8.0
291,2024-07-14,Jos Buttler,West Indies,70,6,24,7.3
292,2025-01-26,Joe Root,West Indies,86,9,5,9.1
293,2024-10-24,Shaheen Afridi,England,77,18,5,8.6
294,2023-06-07,Fakhar Zaman,West Indies,74,18,8,8.3
295,2024-02-05,Rahmanullah Gurbaz,West Indies,80,3,17,8.1
296,2023-06-10,Fakhar Zaman,Bangladesh,79,18,3,8.8
297,2023-12-19,Pat Cummins,Bangladesh,60,9,31,6.5
298,2025-06-16,Temba Bavuma,South Africa,77,7,16,8.1
299,2024-02-27,Travis Head,New Zealand,68,8,24,7.2
300,2024-11-27,Kusal Mendis,Afghanistan,84,16,0,9.2
301,2023-09-20,Nicholas Pooran,England,59,16,25,6.7
302,2024-02-20,Angelo Mathews,India,65,4,31,6.7
303,2024-04-10,KL Rahul,New Zealand,76,17,7,8.4
304,2024-03-22,Shakib Al Hasan,Australia,91,8,1,9.5
305,2024-09-17,Joe Root,Bangladesh,81,5,14,8.3
306,2024-12-22,Rashid Khan,Bangladesh,87,17,0,9.5
307,2025-03-06,Wanindu Hasaranga,Pakistan,72,15,13,8.0
308,2024-04-14,Jasprit Bumrah,Afghanistan,67,8,25,7.1
309,2023-05-28,Travis Head,Pakistan,71,11,18,7.7
310,2024-04-06,Glenn Maxwell,Pakistan,89,15,0,9.7
311,2024-02-06,Travis Head,Sri Lanka,69,17,14,7.8
312,2023-02-04,Suryakumar Yadav,South Africa,74,8,18,7.8
313,2023-04-21,Mohammed Shami,Sri Lanka,70,3,27,7.1
314,2024-06-27,Shimron Hetmyer,Bangladesh,87,20,0,9.7
315,2025-05-23,Mustafizur Rahman,New Zealand,65,7,28,6.9
316,2023-12-10,Kagiso Rabada,Pakistan,70,6,24,7.3
317,2025-02-28,Jos Buttler,England,72,5,23,7.5
318,2024-09-20,Devon Conway,West Indies,58,12,30,6.4
319,2023-03-09,Kagiso Rabada,Afghanistan,92,18,0,10.1
320,2023-09-23,Pat Cummins,India,84,17,0,9.2
321,2025-04-22,Babar Azam,Sri Lanka,59,12,29,6.5
322,2023-04-27,Jonny Bairstow,Afghanistan,55,16,29,6.3
323,2024-10-21,Litton Das,England,56,7,37,5.9
324,2024-03-19,Travis Head,Pakistan,56,10,34,6.1
325,2023-11-25,Steve Smith,Pakistan,78,8,14,8.2
326,2024-02-14,Babar Azam,Pakistan,55,11,34,6.0
327,2024-12-07,Rohit Sharma,West Indies,87,5,8,8.9
328,2024-08-06,Shaheen Afridi,New Zealand,73,5,22,7.5
329,2023-03-19,Jofra Archer,Pakistan,91,14,0,9.8
330,2025-03-04,Virat Kohli,West Indies,90,6,4,9.3
331,2023-09-08,Kagiso Rabada,India,69,3,28,7.0
332,2024-07-14,KL Rahul,South Africa,79,5,16,8.1
333,2025-05-05,Mitchell Starc,Australia,94,6,0,9.7
334,2024-03-02,Rishabh Pant,South Africa,89,6,5,9.2
335,2024-11-08,Aiden Markram,England,55,8,37,5.9
336,2025-04-17,Kagiso Rabada,Sri Lanka,61,15,24,6.9
337,2023-11-03,Mohammed Shami,Australia,95,9,0,9.9
338,2025-06-13,Devon Conway,Pakistan,87,16,0,9.5
339,2024-12-28,Kagiso Rabada,Sri Lanka,88,20,0,9.8
340,2024-11-11,Yashasvi Jaiswal,South Africa,84,7,9,8.8
341,2025-01-02,Mujeeb Ur Rahman,England,80,11,9,8.6
342,2024-03-15,Jos Buttler,West Indies,80,11,9,8.6
343,2024-06-22,Angelo Mathews,Bangladesh,60,19,21,6.9
344,2023-06-09,Jasprit Bumrah,Bangladesh,64,17,19,7.2
345,2023-05-11,Mitchell Starc,Australia,58,18,24,6.7
346,2023-01-06,Mustafizur Rahman,West Indies,85,4,11,8.7
347,2024-06-18,Kusal Mendis,Bangladesh,85,9,6,8.9
348,2024-04-17,Nicholas Pooran,New Zealand,62,17,21,7.0
349,2025-01-07,Wanindu Hasaranga,England,72,18,10,8.1
350,2025-05-29,Jasprit Bumrah,New Zealand,71,10,19,7.6
351,2025-03-26,Rashid Khan,Bangladesh,73,18,9,8.2
352,2023-04-19,Kagiso Rabada,West Indies,88,10,2,9.3
353,2023-02-18,Mitchell Starc,England,88,9,3,9.2
354,2023-12-17,Jasprit Bumrah,India,85,10,5,9.0
355,2024-03-04,Mitchell Starc,Australia,73,6,21,7.6
356,2023-10-24,Aiden Markram,West Indies,94,9,0,9.8
357,2023-05-04,Mitchell Starc,Pakistan,75,16,9,8.3
358,2023-06-09,Jonny Bairstow,Bangladesh,56,19,25,6.6
359,2024-01-19,Angelo Mathews,Bangladesh,57,12,31,6.3
360,2023-05-17,KL Rahul,South Africa,57,13,30,6.3
361,2024-12-28,Pat Cummins,New Zealand,68,19,13,7.8
362,2023-02-22,Nicholas Pooran,South Africa,88,20,0,9.8
363,2024-06-08,Shimron Hetmyer,South Africa,60,15,25,6.8
364,2023-10-30,Steve Smith,South Africa,68,9,23,7.2
365,2024-08-26,Quinton de Kock,West Indies,71,12,17,7.7
366,2023-06-24,Shimron Hetmyer,New Zealand,77,5,18,8.0
367,2024-05-19,Nicholas Pooran,Bangladesh,92,14,0,9.9
368,2023-11-25,Glenn Maxwell,India,66,5,29,6.9
369,2023-10-27,Jasprit Bumrah,Bangladesh,86,12,2,9.2
370,2025-05-16,Kusal Mendis,South Africa,66,12,22,7.2
371,2024-02-23,Devon Conway,Afghanistan,62,17,21,7.0
372,2025-04-25,Shimron Hetmyer,West Indies,57,4,39,5.9
373,2024-07-06,David Warner,Afghanistan,82,7,11,8.6
374,2023-08-16,Jofra Archer,India,84,11,5,8.9
375,2025-04-25,Pat Cummins,India,56,13,31,6.2
376,2023-07-19,Rohit Sharma,Afghanistan,85,15,0,9.2
377,2025-03-23,Angelo Mathews,Afghanistan,85,14,1,9.2
378,2025-06-18,Jason Holder,Sri Lanka,70,5,25,7.2
379,2024-06-14,Shaheen Afridi,Australia,94,9,0,9.8
380,2023-10-31,Jasprit Bumrah,Australia,93,10,0,9.8
381,2024-12-25,Virat Kohli,New Zealand,66,8,26,7.0
382,2023-05-27,Mohammad Rizwan,England,60,8,32,6.4
383,2023-04-22,Joe Root,Afghanistan,81,5,14,8.3
384,2024-01-12,Angelo Mathews,Pakistan,55,6,39,5.8
385,2023-06-29,Andre Russell,Pakistan,61,6,33,6.4
386,2023-02-09,Mitchell Starc,India,73,8,19,7.7
387,2024-09-18,Yashasvi Jaiswal,Bangladesh,83,18,0,9.2
388,2023-06-01,Aiden Markram,Afghanistan,58,15,27,6.6
389,2023-09-22,Jason Holder,New Zealand,85,10,5,9.0
390,2023-05-09,Shaheen Afridi,Afghanistan,66,18,16,7.5
391,2024-07-02,Mohammed Shami,Afghanistan,83,15,2,9.1
392,2023-03-20,Litton Das,New Zealand,74,12,14,8.0
393,2023-10-10,Dasun Shanaka,England,74,15,11,8.1
394,2024-07-16,Shubman Gill,Afghanistan,85,5,10,8.8
395,2023-04-08,Litton Das,Pakistan,64,12,24,7.0
396,2024-04-30,Joe Root,Sri Lanka,66,12,22,7.2
397,2023-04-13,Glenn Maxwell,Sri Lanka,82,13,5,8.8
398,2023-03-14,Shaheen Afridi,South Africa,70,3,27,7.1
399,2024-07-25,Babar Azam,South Africa,74,18,8,8.3
400,2023-10-21,Temba Bavuma,Sri Lanka,82,15,3,8.9
401,2023-10-07,Harry Brook,Afghanistan,91,12,0,9.7
402,2023-04-09,Dasun Shanaka,England,80,19,1,8.9
403,2024-01-04,Mohammad Rizwan,Afghanistan,67,15,18,7.5
404,2024-05-15,Babar Azam,Afghanistan,70,15,15,7.8
405,2023-07-12,Kagiso Rabada,Australia,80,15,5,8.8
406,2024-07-29,KL Rahul,South Africa,66,15,19,7.3
407,2024-09-15,Mustafizur Rahman,Australia,71,4,25,7.3
408,2023-08-16,Shakib Al Hasan,England,73,14,13,8.0
409,2024-09-02,Jonny Bairstow,West Indies,64,6,30,6.7
410,2023-11-21,Yashasvi Jaiswal,South Africa,81,5,14,8.3
411,2023-07-20,Andre Russell,Afghanistan,80,7,13,8.3
412,2024-01-24,Fakhar Zaman,England,80,9,11,8.4
413,2024-10-20,Aiden Markram,Pakistan,95,5,0,9.8
414,2024-02-22,Angelo Mathews,Afghanistan,94,13,0,10.0
415,2024-08-27,Mitchell Starc,South Africa,77,11,12,8.2
416,2024-09-06,Mohammad Rizwan,England,90,9,1,9.4
417,2024-09-25,Wanindu Hasaranga,Australia,68,17,15,7.7
418,2024-07-08,Dasun Shanaka,West Indies,62,3,35,6.3
419,2024-07-28,Wanindu Hasaranga,Pakistan,60,16,24,6.8
420,2024-09-03,Yashasvi Jaiswal,Pakistan,89,11,0,9.4
